"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.996527470E2,4.078230000E1,1.674723333E1,4.926674783E2,4.308225155E0,1.464100037E2,1.799999952E0,1.119999981E1
2.006527470E2,4.078228333E1,1.674729667E1,4.927677187E2,4.951113224E0,1.130400009E2,1.799999952E0,1.180000019E1
2.016527470E2,4.078227167E1,1.674737000E1,4.928679802E2,6.218873978E0,1.039800034E2,1.799999952E0,1.219999981E1
2.026527470E2,4.078226000E1,1.674744667E1,4.933682525E2,6.564767361E0,1.028899994E2,1.799999952E0,1.200000000E1
2.036527470E2,4.078224833E1,1.674752667E1,4.943685354E2,6.998678207E0,1.021100006E2,1.700000048E0,1.130000019E1
2.046527470E2,4.078223333E1,1.674761167E1,4.952688418E2,7.374425411E0,1.019199982E2,1.700000048E0,1.139999962E1
2.056527470E2,4.078222167E1,1.674770000E1,4.953691516E2,7.191699028E0,1.009400024E2,1.700000048E0,1.100000000E1
2.066527470E2,4.078220833E1,1.674779833E1,4.960694972E2,7.561784267E0,1.010500031E2,1.700000048E0,1.050000000E1
2.076527470E2,4.078219333E1,1.674789333E1,4.971698357E2,8.043563843E0,1.006299973E2,1.700000048E0,1.019999981E1
2.086527470E2,4.078218000E1,1.674799000E1,4.974701760E2,8.231952667E0,1.003099976E2,1.700000048E0,9.899999619E0
2.096527470E2,4.078216833E1,1.674808833E1,4.973705179E2,8.547476768E0,9.986000061E1,1.700000048E0,9.800000191E0
2.106527470E2,4.078215500E1,1.674818833E1,4.974708688E2,8.724541664E0,1.005500031E2,1.700000048E0,9.800000191E0
2.116527470E2,4.078213833E1,1.674829333E1,4.976712432E2,8.997859001E0,1.004000015E2,1.700000048E0,9.699999809E0
