"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.837626130E-1,2.873750031E-2,-1.567500085E-2,1.113750041E-2
6.862688440E-1,2.749999985E-2,-8.387500420E-3,1.374999993E-4
6.887758420E-1,1.897500083E-2,5.087499972E-3,-1.086249948E-2
6.912838420E-1,1.924999990E-3,1.484999992E-2,-2.186249942E-2
6.937906760E-1,-1.031249948E-2,1.732499897E-2,-2.914999984E-2
6.962970600E-1,-1.773750037E-2,9.899999946E-3,-3.038750030E-2
6.988041350E-1,-2.254999988E-2,5.087499972E-3,-2.186249942E-2
7.013119050E-1,-2.378750034E-2,1.374999993E-3,-1.086249948E-2
7.038189830E-1,-2.254999988E-2,2.612499986E-3,7.562499959E-3
7.063253680E-1,-1.649999991E-2,1.374999993E-3,2.213750035E-2
7.088322210E-1,-1.787499990E-3,1.374999993E-4,2.942499891E-2
7.113402210E-1,1.168750040E-2,-1.086249948E-2,3.189999983E-2
7.138472230E-1,2.144999988E-2,-2.062499896E-2,2.461249940E-2
7.163534830E-1,2.997500077E-2,-2.062499896E-2,1.732499897E-2
7.188605580E-1,3.121249937E-2,-1.209999993E-2,5.087499972E-3
7.213684810E-1,2.502499893E-2,-1.099999994E-3,-5.912499968E-3
7.238755750E-1,1.044999994E-2,8.662499487E-3,-1.691249944E-2
7.263817290E-1,-6.737499963E-3,1.608750038E-2,-2.667500079E-2
7.288888040E-1,-1.883750036E-2,1.608750038E-2,-2.667500079E-2
7.313965820E-1,-2.502499893E-2,1.113750041E-2,-2.543750033E-2
7.339036610E-1,-2.983750030E-2,6.324999966E-3,-1.443750039E-2
7.364098150E-1,-3.107500076E-2,5.087499972E-3,-1.099999994E-3
7.389171200E-1,-2.254999988E-2,1.374999993E-3,1.361249946E-2
7.414248130E-1,-1.031249948E-2,-2.337499987E-3,2.708750032E-2
7.439319690E-1,4.262499977E-3,-3.574999981E-3,2.942499891E-2
7.464381220E-1,2.144999988E-2,-1.209999993E-2,2.942499891E-2
7.489451970E-1,3.368749842E-2,-2.433750033E-2,2.089999989E-2
7.514531200E-1,3.973750025E-2,-2.543750033E-2,1.113750041E-2
7.539601990E-1,3.849999979E-2,-1.333750039E-2,1.374999993E-3
7.564663440E-1,2.626249939E-2,1.374999993E-3,-9.624999948E-3
7.589734190E-1,1.044999994E-2,1.484999992E-2,-1.938750036E-2
7.614814190E-1,-6.737499963E-3,1.842499897E-2,-2.914999984E-2
7.639882950E-1,-2.131249942E-2,1.484999992E-2,-2.791249938E-2
7.664946800E-1,-2.873750031E-2,7.424999960E-3,-2.667500079E-2
7.690017550E-1,-3.478749841E-2,5.087499972E-3,-1.443750039E-2
