"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.675623342E0,2.920500040E-1,9.555000305E0,2.869950056E0
6.678131112E0,3.900000155E-1,9.406949997E0,2.833950043E0
6.680638191E0,4.450500309E-1,9.277950287E0,2.815050125E0
6.683144565E0,4.020000100E-1,9.184050560E0,2.758050203E0
6.685651640E0,2.539499998E-1,9.045000076E0,2.583000183E0
6.688159409E0,5.700000376E-2,9.045000076E0,2.362950087E0
6.690666484E0,-1.279500127E-1,9.277950287E0,2.341050148E0
6.693172638E0,-3.199500144E-1,9.385050774E0,2.491950035E0
6.695679713E0,-4.249500334E-1,9.301050186E0,2.710050106E0
6.698187636E0,-4.350000322E-1,9.328050613E0,2.947050095E0
6.700694715E0,-3.180000186E-1,9.570000648E0,3.157950163E0
6.703200946E0,-1.360500008E-1,9.748950005E0,3.157950163E0
6.705708020E0,3.795000166E-2,9.778050423E0,3.045000076E0
6.708215943E0,2.220000178E-1,9.688950539E0,2.880000114E0
6.710723022E0,3.490500152E-1,9.547950745E0,2.821950197E0
6.713229253E0,4.240500331E-1,9.337050438E0,2.836950064E0
6.715736251E0,4.039500058E-1,9.177000046E0,2.796000242E0
6.718244251E0,3.450000286E-1,9.151050568E0,2.679000139E0
6.720751099E0,1.650000066E-1,9.157950401E0,2.514000177E0
6.723257483E0,-7.605000585E-2,9.229950905E0,2.329050064E0
6.725764328E0,-2.580000162E-1,9.346950531E0,2.334000111E0
6.728272328E0,-4.420500100E-1,9.313050270E0,2.560950041E0
6.730779350E0,-5.020500422E-1,9.285000801E0,2.821950197E0
6.733285580E0,-4.009500146E-1,9.378000259E0,3.033000231E0
6.735792655E0,-2.430000156E-1,9.613050461E0,3.129000187E0
6.738300597E0,-4.005000368E-2,9.782999992E0,3.154950142E0
6.740807676E0,1.530000120E-1,9.780000687E0,3.057000160E0
6.743313907E0,3.300000131E-1,9.679950714E0,2.857950211E0
6.745820982E0,4.210500121E-1,9.519000053E0,2.812950134E0
6.748328900E0,4.710000157E-1,9.298950195E0,2.821950197E0
6.750835979E0,3.970500231E-1,9.097949982E0,2.719050169E0
6.753342133E0,2.800500095E-1,8.962050438E0,2.503950119E0
6.755849227E0,8.100000024E-2,9.043050766E0,2.347950220E0
6.758356996E0,-1.210500076E-1,9.246000290E0,2.329050064E0
6.760864075E0,-2.820000052E-1,9.370950699E0,2.437050104E0
6.763370460E0,-3.889500201E-1,9.378000259E0,2.635950089E0
6.765877535E0,-4.009500146E-1,9.439949989E0,2.923050165E0
6.768385304E0,-3.580500185E-1,9.534000397E0,3.150000095E0
6.770892383E0,-2.100000083E-1,9.699000359E0,3.160050154E0
6.773398551E0,-3.495000303E-2,9.771000862E0,3.097950220E0
6.775905856E0,1.579500139E-1,9.747000694E0,3.052050114E0
6.778413549E0,2.800500095E-1,9.582000732E0,2.923050165E0
6.780920690E0,3.589500189E-1,9.388050079E0,2.845950127E0
6.783426844E0,4.210500121E-1,9.262950897E0,2.844000101E0
6.785933919E0,3.900000155E-1,9.177000046E0,2.748000145E0
6.788441842E0,2.080500126E-1,9.073950768E0,2.547000170E0
6.790948921E0,-1.950000064E-3,9.151050568E0,2.287950039E0
